Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.484,0.4932917734601075,0.484,0.4805561919430139
SVM,0.504,0.5076571428571428,0.504,0.504667147043282
Random Forest,0.51,0.5080587546359554,0.51,0.5086868580713746
Gradient Boosting,0.532,0.5282865435968884,0.532,0.5284791975379004
Decision Tree,0.514,0.5106251317175974,0.514,0.511231359555626
KNN,0.52,0.5208894450594407,0.52,0.5203701561596298
MLP,0.522,0.5113236994219653,0.522,0.5041235772357724
XGBoost,0.51,0.5083571428571428,0.51,0.5089333155626637
