Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9862542955326461,0.9922779922779923,0.9922779922779923,0.9922779922779923
SVM,0.9828178694158075,0.9884615384615385,0.9922779922779923,0.9903660886319846
Random Forest,0.9862542955326461,0.9847908745247148,1.0,0.9923371647509579
Gradient Boosting,0.9690721649484536,0.9770992366412213,0.9884169884169884,0.982725527831094
Decision Tree,0.9621993127147767,0.9769230769230769,0.9806949806949807,0.9788053949903661
KNN,0.6769759450171822,1.0,0.637065637065637,0.7783018867924528
MLP,0.9278350515463918,0.9722222222222222,0.9459459459459459,0.958904109589041
XGBoost,0.9896907216494846,0.9885496183206107,1.0,0.9942418426103646
