Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.46938775510204084,0.5272727272727272,0.5272727272727272,0.5272727272727272
SVM,0.6020408163265306,0.6333333333333333,0.6909090909090909,0.6608695652173913
Random Forest,0.5204081632653061,0.5714285714285714,0.5818181818181818,0.5765765765765766
Gradient Boosting,0.6632653061224489,0.6833333333333333,0.7454545454545455,0.7130434782608696
Decision Tree,0.6428571428571429,0.6851851851851852,0.6727272727272727,0.6788990825688074
KNN,0.5612244897959183,0.6428571428571429,0.4909090909090909,0.5567010309278351
MLP,0.41836734693877553,0.4807692307692308,0.45454545454545453,0.4672897196261682
XGBoost,0.6122448979591837,0.6491228070175439,0.6727272727272727,0.6607142857142857
