Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.49,0.49015568708183216,0.49,0.4900758956043293
SVM,0.49,0.46606951871657754,0.49,0.4566407465007776
Random Forest,0.542,0.537341314935065,0.542,0.5363648610445321
Gradient Boosting,0.484,0.47960611823067384,0.48400000000000004,0.48050829592035915
Decision Tree,0.546,0.548888,0.546,0.5466565240206859
KNN,0.51,0.5119646516393443,0.51,0.5106385964912281
MLP,0.484,0.4843141566603978,0.484,0.4841493823983531
XGBoost,0.526,0.5225507562248201,0.526,0.5229656262828668
