Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8797250859106529,0.8916083916083916,0.9845559845559846,0.9357798165137615
SVM,0.8556701030927835,0.8861209964412812,0.9613899613899614,0.9222222222222223
Random Forest,0.8900343642611683,0.8900343642611683,1.0,0.9418181818181818
Gradient Boosting,0.8213058419243986,0.8935361216730038,0.9073359073359073,0.9003831417624522
Decision Tree,0.8247422680412371,0.8851851851851852,0.9227799227799228,0.9035916824196597
KNN,0.3470790378006873,0.8709677419354839,0.3127413127413127,0.4602272727272727
MLP,0.8213058419243986,0.896551724137931,0.9034749034749034,0.9
XGBoost,0.8865979381443299,0.897887323943662,0.9845559845559846,0.9392265193370166
