Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.6020408163265306,0.6666666666666666,0.5818181818181818,0.6213592233009708
SVM,0.5510204081632653,0.5846153846153846,0.6909090909090909,0.6333333333333333
Random Forest,0.5306122448979592,0.5789473684210527,0.6,0.5892857142857143
Gradient Boosting,0.5204081632653061,0.5740740740740741,0.5636363636363636,0.5688073394495413
Decision Tree,0.5306122448979592,0.5918367346938775,0.5272727272727272,0.5576923076923077
KNN,0.5102040816326531,0.6521739130434783,0.2727272727272727,0.38461538461538464
MLP,0.5,0.5882352941176471,0.36363636363636365,0.449438202247191
XGBoost,0.6224489795918368,0.6666666666666666,0.6545454545454545,0.6605504587155964
