Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5425531914893617,0.5265323764413911,0.5425531914893617,0.5265939060307985
SVM,0.4787234042553192,0.5053565200059793,0.4787234042553192,0.4279781059543959
Random Forest,0.5212765957446809,0.4996546007184305,0.5212765957446809,0.48957394748329064
Gradient Boosting,0.425531914893617,0.4222160817905499,0.425531914893617,0.4230709352920043
Decision Tree,0.3829787234042553,0.40543636185365767,0.3829787234042553,0.38977198851754874
KNN,0.40425531914893614,0.6701125690487393,0.40425531914893614,0.4093711561334133
MLP,0.44680851063829785,0.4853197499699483,0.44680851063829785,0.42073539011465644
XGBoost,0.5106382978723404,0.48138297872340424,0.5106382978723404,0.4908035227184164
