Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7446808510638298,0.7027027027027027,0.6666666666666666,0.6842105263157895
SVM,0.7446808510638298,0.6829268292682927,0.717948717948718,0.7
Random Forest,0.6914893617021277,0.6785714285714286,0.48717948717948717,0.5671641791044776
Gradient Boosting,0.648936170212766,0.5714285714285714,0.6153846153846154,0.5925925925925926
Decision Tree,0.6702127659574468,0.6052631578947368,0.5897435897435898,0.5974025974025974
KNN,0.6276595744680851,0.5294117647058824,0.9230769230769231,0.6728971962616822
MLP,0.7340425531914894,0.7058823529411765,0.6153846153846154,0.6575342465753424
XGBoost,0.7340425531914894,0.6944444444444444,0.6410256410256411,0.6666666666666666
