Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.6020408163265306,0.6666666666666666,0.5818181818181818,0.6213592233009708
SVM,0.5918367346938775,0.6153846153846154,0.7272727272727273,0.6666666666666666
Random Forest,0.6020408163265306,0.66,0.6,0.6285714285714286
Gradient Boosting,0.5204081632653061,0.5769230769230769,0.5454545454545454,0.5607476635514018
Decision Tree,0.5510204081632653,0.6078431372549019,0.5636363636363636,0.5849056603773585
KNN,0.5306122448979592,0.68,0.3090909090909091,0.425
MLP,0.6020408163265306,0.6081081081081081,0.8181818181818182,0.6976744186046512
XGBoost,0.5918367346938775,0.6470588235294118,0.6,0.6226415094339622
