Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5929339477726574,0.5899332945779708,0.5929339477726574,0.588310444094637
SVM,0.6052227342549923,0.610132425312691,0.6052227342549923,0.5814983259966068
Random Forest,0.4930875576036866,0.49359609407627564,0.4930875576036866,0.4933233308327082
Gradient Boosting,0.5453149001536098,0.5496782757890487,0.5453149001536098,0.546008567673213
Decision Tree,0.500768049155146,0.4988657590852903,0.500768049155146,0.4995532482718395
KNN,0.5913978494623656,0.5883185537420211,0.5913978494623656,0.5866084316049999
MLP,0.5422427035330261,0.5420135554999781,0.5422427035330261,0.5421230358176351
XGBoost,0.5960061443932412,0.5935772611251632,0.5960061443932412,0.5932527323011386
