Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5054945054945055,0.5434782608695652,0.5102040816326531,0.5263157894736842
SVM,0.5494505494505495,0.5625,0.7346938775510204,0.6371681415929203
Random Forest,0.5714285714285714,0.6136363636363636,0.5510204081632653,0.5806451612903226
Gradient Boosting,0.6483516483516484,0.6808510638297872,0.6530612244897959,0.6666666666666666
Decision Tree,0.6153846153846154,0.6346153846153846,0.673469387755102,0.6534653465346535
KNN,0.5274725274725275,0.6363636363636364,0.2857142857142857,0.39436619718309857
MLP,0.5604395604395604,0.6216216216216216,0.46938775510204084,0.5348837209302325
XGBoost,0.5934065934065934,0.625,0.6122448979591837,0.6185567010309279
