Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5612244897959183,0.62,0.5636363636363636,0.5904761904761905
SVM,0.5918367346938775,0.6119402985074627,0.7454545454545455,0.6721311475409836
Random Forest,0.5816326530612245,0.6206896551724138,0.6545454545454545,0.6371681415929203
Gradient Boosting,0.6122448979591837,0.6491228070175439,0.6727272727272727,0.6607142857142857
Decision Tree,0.5612244897959183,0.6153846153846154,0.5818181818181818,0.5981308411214953
KNN,0.4897959183673469,0.631578947368421,0.21818181818181817,0.32432432432432434
MLP,0.5408163265306123,0.5641025641025641,0.8,0.6616541353383458
XGBoost,0.5408163265306123,0.5925925925925926,0.5818181818181818,0.5871559633027523
