Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5911854103343465,0.6256410256410256,0.6648501362397821,0.6446499339498019
SVM,0.4969604863221885,0.5407239819004525,0.6512261580381471,0.5908529048207664
Random Forest,0.5866261398176292,0.6155717761557178,0.6893732970027248,0.6503856041131105
Gradient Boosting,0.5972644376899696,0.6148648648648649,0.7438692098092643,0.6732429099876696
Decision Tree,0.560790273556231,0.5979899497487438,0.6485013623978202,0.6222222222222222
KNN,0.5288753799392097,0.6301369863013698,0.3760217983651226,0.4709897610921502
MLP,0.5015197568389058,0.5543175487465181,0.5422343324250681,0.5482093663911846
XGBoost,0.541033434650456,0.5768321513002365,0.6648501362397821,0.6177215189873417
