Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5122615803814714,0.2743362831858407,0.2421875,0.2572614107883817
SVM,0.6430517711171662,0.46153846153846156,0.140625,0.2155688622754491
Random Forest,0.6321525885558583,0.42857142857142855,0.1640625,0.23728813559322035
Gradient Boosting,0.6130790190735694,0.4027777777777778,0.2265625,0.29
Decision Tree,0.6021798365122616,0.4117647058823529,0.328125,0.3652173913043478
KNN,0.4877384196185286,0.36607142857142855,0.640625,0.4659090909090909
MLP,0.5994550408719346,0.3956043956043956,0.28125,0.3287671232876712
XGBoost,0.6485013623978202,0.49411764705882355,0.328125,0.39436619718309857
