Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.576,0.5790643690299044,0.576,0.5766113523125971
SVM,0.618,0.6172592592592593,0.618,0.6099041976208923
Random Forest,0.558,0.5527960862166761,0.558,0.5474860323120981
Gradient Boosting,0.552,0.5507038388556416,0.552,0.5511318390284866
Decision Tree,0.474,0.4754076923076923,0.474,0.47455099755577773
KNN,0.52,0.5230464487431798,0.52,0.5206920969576571
MLP,0.534,0.53094322971549,0.534,0.5313452953763821
XGBoost,0.54,0.5386473994064127,0.54,0.5391085847167495
