Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5918367346938775,0.6530612244897959,0.5818181818181818,0.6153846153846154
SVM,0.6020408163265306,0.6176470588235294,0.7636363636363637,0.6829268292682927
Random Forest,0.5306122448979592,0.5849056603773585,0.5636363636363636,0.5740740740740741
Gradient Boosting,0.5408163265306123,0.6,0.5454545454545454,0.5714285714285714
Decision Tree,0.5510204081632653,0.6,0.6,0.6
KNN,0.5,0.6363636363636364,0.2545454545454545,0.36363636363636365
MLP,0.5714285714285714,0.6511627906976745,0.509090909090909,0.5714285714285714
XGBoost,0.5510204081632653,0.6,0.6,0.6
