Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9057750759878419,0.9132791327913279,0.9182561307901907,0.9157608695652174
SVM,0.8753799392097265,0.8701298701298701,0.9128065395095368,0.8909574468085106
Random Forest,0.9772036474164134,0.9808743169398907,0.9782016348773842,0.9795361527967258
Gradient Boosting,0.9726443768996961,0.9780821917808219,0.9727520435967303,0.9754098360655737
Decision Tree,0.8723404255319149,0.896358543417367,0.8719346049046321,0.8839779005524862
KNN,0.7826747720364742,0.9057971014492754,0.6811989100817438,0.7776049766718507
MLP,0.8206686930091185,0.8487394957983193,0.8256130790190735,0.8370165745856354
XGBoost,0.9756838905775076,0.975609756097561,0.9809264305177112,0.9782608695652174
