Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9300911854103343,0.9349593495934959,0.9400544959128065,0.9375
SVM,0.8966565349544073,0.896551724137931,0.9209809264305178,0.9086021505376344
Random Forest,0.9620060790273556,0.9672131147540983,0.9645776566757494,0.965893587994543
Gradient Boosting,0.9787234042553191,0.9757412398921833,0.9863760217983651,0.981029810298103
Decision Tree,0.8966565349544073,0.9141274238227147,0.8991825613079019,0.9065934065934066
KNN,0.8054711246200608,0.9222614840989399,0.7111716621253406,0.803076923076923
MLP,0.8586626139817629,0.8784530386740331,0.8664850136239782,0.8724279835390947
XGBoost,0.9756838905775076,0.9808219178082191,0.9754768392370572,0.9781420765027322
