Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.794,0.7942311548101022,0.794,0.7940869460355743
SVM,0.816,0.815855932613642,0.816,0.8158754733398862
Random Forest,0.786,0.7862210966603491,0.786,0.7851898370280392
Gradient Boosting,0.788,0.7877769696969696,0.788,0.7877743808049535
Decision Tree,0.654,0.653896618357488,0.654,0.6539456935998614
KNN,0.77,0.7829920928122367,0.77,0.7696107138712943
MLP,0.802,0.8029346153846154,0.802,0.8022074097263194
XGBoost,0.806,0.8059428571428571,0.806,0.8055776800390955
