Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5816326530612245,0.64,0.5818181818181818,0.6095238095238096
SVM,0.6122448979591837,0.6164383561643836,0.8181818181818182,0.703125
Random Forest,0.6020408163265306,0.6379310344827587,0.6727272727272727,0.6548672566371682
Gradient Boosting,0.5612244897959183,0.603448275862069,0.6363636363636364,0.6194690265486725
Decision Tree,0.5714285714285714,0.6326530612244898,0.5636363636363636,0.5961538461538461
KNN,0.47959183673469385,0.6,0.21818181818181817,0.32
MLP,0.5408163265306123,0.5735294117647058,0.7090909090909091,0.6341463414634146
XGBoost,0.5714285714285714,0.6226415094339622,0.6,0.6111111111111112
