Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5816326530612245,0.64,0.5818181818181818,0.6095238095238096
SVM,0.6224489795918368,0.6323529411764706,0.7818181818181819,0.6991869918699187
Random Forest,0.5816326530612245,0.6296296296296297,0.6181818181818182,0.6238532110091743
Gradient Boosting,0.5714285714285714,0.6140350877192983,0.6363636363636364,0.625
Decision Tree,0.5102040816326531,0.5777777777777777,0.4727272727272727,0.52
KNN,0.5204081632653061,0.6666666666666666,0.2909090909090909,0.4050632911392405
MLP,0.6224489795918368,0.640625,0.7454545454545455,0.6890756302521008
XGBoost,0.5510204081632653,0.6078431372549019,0.5636363636363636,0.5849056603773585
