Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5714285714285714,0.6326530612244898,0.5636363636363636,0.5961538461538461
SVM,0.5816326530612245,0.6060606060606061,0.7272727272727273,0.6611570247933884
Random Forest,0.6326530612244898,0.6792452830188679,0.6545454545454545,0.6666666666666666
Gradient Boosting,0.6122448979591837,0.6491228070175439,0.6727272727272727,0.6607142857142857
Decision Tree,0.5612244897959183,0.6111111111111112,0.6,0.6055045871559633
KNN,0.46938775510204084,0.5652173913043478,0.23636363636363636,0.3333333333333333
MLP,0.5714285714285714,0.6756756756756757,0.45454545454545453,0.5434782608695652
XGBoost,0.5510204081632653,0.6037735849056604,0.5818181818181818,0.5925925925925926
