Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.717948717948718,0.5821205821205822,0.717948717948718,0.6429391504018369
SVM,0.7692307692307693,0.8224852071005918,0.7692307692307693,0.6688963210702341
Random Forest,0.8205128205128205,0.8544698544698545,0.8205128205128205,0.7727794593466236
Gradient Boosting,0.7692307692307693,0.7785145888594164,0.7692307692307693,0.7733479722774995
Decision Tree,0.7435897435897436,0.7642357642357641,0.7435897435897436,0.7519893899204244
KNN,0.41025641025641024,0.7452991452991452,0.41025641025641024,0.4102564102564102
MLP,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
XGBoost,0.7692307692307693,0.7785145888594164,0.7692307692307693,0.7733479722774995
