Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7659574468085106,0.7073170731707317,0.7435897435897436,0.725
SVM,0.7872340425531915,0.7435897435897436,0.7435897435897436,0.7435897435897436
Random Forest,0.7659574468085106,0.7741935483870968,0.6153846153846154,0.6857142857142857
Gradient Boosting,0.7340425531914894,0.71875,0.5897435897435898,0.647887323943662
Decision Tree,0.5531914893617021,0.4716981132075472,0.6410256410256411,0.5434782608695652
KNN,0.5957446808510638,0.509090909090909,0.717948717948718,0.5957446808510638
MLP,0.7021276595744681,0.6666666666666666,0.5641025641025641,0.6111111111111112
XGBoost,0.6914893617021277,0.625,0.6410256410256411,0.6329113924050633
