Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.594,0.5941402027027027,0.594,0.5766755807086196
SVM,0.588,0.5930097267253358,0.588,0.5575753846153846
Random Forest,0.596,0.5973307476836888,0.596,0.5768667543694794
Gradient Boosting,0.61,0.6289756728282733,0.61,0.5744353290277536
Decision Tree,0.548,0.5404115450720085,0.548,0.5257111156770083
KNN,0.464,0.47920390112093897,0.464,0.4309056124155462
MLP,0.586,0.5954238539238539,0.586,0.547057703961396
XGBoost,0.592,0.5954782172632107,0.592,0.5667125
