Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.42857142857142855,0.4897959183673469,0.43636363636363634,0.46153846153846156
SVM,0.3673469387755102,0.425531914893617,0.36363636363636365,0.39215686274509803
Random Forest,0.24489795918367346,0.27906976744186046,0.21818181818181817,0.24489795918367346
Gradient Boosting,0.3979591836734694,0.4642857142857143,0.4727272727272727,0.46846846846846846
Decision Tree,0.41836734693877553,0.48148148148148145,0.4727272727272727,0.47706422018348627
KNN,0.32653061224489793,0.3877551020408163,0.34545454545454546,0.36538461538461536
MLP,0.5714285714285714,0.5730337078651685,0.9272727272727272,0.7083333333333334
XGBoost,0.37755102040816324,0.4444444444444444,0.43636363636363634,0.44036697247706424
