Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5816326530612245,0.64,0.5818181818181818,0.6095238095238096
SVM,0.6224489795918368,0.6216216216216216,0.8363636363636363,0.7131782945736435
Random Forest,0.5408163265306123,0.5925925925925926,0.5818181818181818,0.5871559633027523
Gradient Boosting,0.5918367346938775,0.631578947368421,0.6545454545454545,0.6428571428571429
Decision Tree,0.47959183673469385,0.5476190476190477,0.41818181818181815,0.4742268041237113
KNN,0.4897959183673469,0.6190476190476191,0.23636363636363636,0.34210526315789475
MLP,0.5204081632653061,0.5869565217391305,0.4909090909090909,0.5346534653465347
XGBoost,0.5612244897959183,0.6153846153846154,0.5818181818181818,0.5981308411214953
