Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.41836734693877553,0.48214285714285715,0.4909090909090909,0.4864864864864865
SVM,0.2755102040816326,0.3181818181818182,0.2545454545454545,0.2828282828282828
Random Forest,0.37755102040816324,0.4423076923076923,0.41818181818181815,0.42990654205607476
Gradient Boosting,0.37755102040816324,0.44,0.4,0.41904761904761906
Decision Tree,0.4489795918367347,0.5098039215686274,0.4727272727272727,0.49056603773584906
KNN,0.5102040816326531,0.5813953488372093,0.45454545454545453,0.5102040816326531
MLP,0.5714285714285714,0.5866666666666667,0.8,0.676923076923077
XGBoost,0.35714285714285715,0.42,0.38181818181818183,0.4
