Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9182561307901907,0.8951612903225806,0.8671875,0.8809523809523809
SVM,0.8065395095367848,1.0,0.4453125,0.6162162162162163
Random Forest,0.9645776566757494,1.0,0.8984375,0.9465020576131687
Gradient Boosting,0.9618528610354223,0.9523809523809523,0.9375,0.9448818897637795
Decision Tree,0.8937329700272479,0.8345864661654135,0.8671875,0.8505747126436781
KNN,0.7656675749318801,0.6071428571428571,0.9296875,0.7345679012345679
MLP,0.8283378746594006,0.773109243697479,0.71875,0.7449392712550608
XGBoost,0.9564032697547684,0.9516129032258065,0.921875,0.9365079365079365
