Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5023041474654378,0.5053044282850413,0.5023041474654378,0.5031231287245735
SVM,0.5069124423963134,0.49398351387895856,0.5069124423963134,0.4896622239077259
Random Forest,0.4838709677419355,0.48173001154728684,0.4838709677419355,0.4825111776225843
Gradient Boosting,0.4700460829493088,0.47096337677972855,0.4700460829493088,0.4704507574368773
Decision Tree,0.4700460829493088,0.4699122945895269,0.4700460829493088,0.46997808928947116
KNN,0.4869431643625192,0.5099702890539135,0.4869431643625192,0.46130785699061233
MLP,0.5038402457757296,0.5062124553907876,0.5038402457757296,0.5045986108367829
XGBoost,0.46697388632872505,0.46457452432811086,0.46697388632872505,0.4654596835092789
