Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5069124423963134,0.5045464990621934,0.5069124423963134,0.5053010797932613
SVM,0.5145929339477726,0.5067832190687372,0.5145929339477726,0.505730164483336
Random Forest,0.47465437788018433,0.47619977355115883,0.47465437788018433,0.4752666920232786
Gradient Boosting,0.5422427035330261,0.5468851275327266,0.5422427035330261,0.5429041900208653
Decision Tree,0.522273425499232,0.5223938626089164,0.522273425499232,0.5223324185147937
KNN,0.554531490015361,0.5754325787176544,0.554531490015361,0.5471572088821645
MLP,0.4715821812596006,0.4738758393025111,0.4715821812596006,0.472369976178873
XGBoost,0.5238095238095238,0.5265390891559115,0.5238095238095238,0.5245775729646698
