Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.778,0.777771655577805,0.778,0.7778076574343847
SVM,0.776,0.7757965499991932,0.776,0.7758484023268181
Random Forest,0.758,0.7593893946441624,0.758,0.7560847864250482
Gradient Boosting,0.764,0.7647328485927685,0.764,0.7625733924828157
Decision Tree,0.614,0.6130801088858643,0.614,0.6133410656561377
KNN,0.736,0.7453175848789055,0.736,0.7359155186482984
MLP,0.776,0.7782203517306492,0.776,0.7763160037833245
XGBoost,0.756,0.7571758969000348,0.756,0.7541643679471105
