Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.57,0.5530486777628164,0.57,0.5588041462901333
SVM,0.59,0.554153677442615,0.59,0.5522949126069588
Random Forest,0.564,0.4836192975758733,0.564,0.498528522804629
Gradient Boosting,0.546,0.4883869265756985,0.546,0.5065733796666744
Decision Tree,0.398,0.39651745776347547,0.398,0.39715296248824633
KNN,0.344,0.5637640838373464,0.344,0.351906398565973
MLP,0.58,0.5463953486713037,0.58,0.561467840180886
XGBoost,0.518,0.4646576467987672,0.518,0.4814906710310965
