Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.40816326530612246,0.4727272727272727,0.4727272727272727,0.4727272727272727
SVM,0.4897959183673469,0.5423728813559322,0.5818181818181818,0.5614035087719298
Random Forest,0.4489795918367347,0.5079365079365079,0.5818181818181818,0.5423728813559322
Gradient Boosting,0.6326530612244898,0.6610169491525424,0.7090909090909091,0.6842105263157895
Decision Tree,0.5306122448979592,0.6,0.4909090909090909,0.54
KNN,0.5816326530612245,0.6521739130434783,0.5454545454545454,0.594059405940594
MLP,0.5,0.56,0.509090909090909,0.5333333333333333
XGBoost,0.5408163265306123,0.5862068965517241,0.6181818181818182,0.6017699115044248
