Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.6545454545454545,0.6617132867132868,0.6545454545454545,0.6579308808790231
SVM,0.6727272727272727,0.6284584980237153,0.6727272727272727,0.6432346723044398
Random Forest,0.6727272727272727,0.6082251082251081,0.6727272727272727,0.628099173553719
Gradient Boosting,0.6,0.631578947368421,0.6,0.6130030959752322
Decision Tree,0.6909090909090909,0.7108927108927109,0.6909090909090909,0.6989374262101535
KNN,0.6,0.7685950413223139,0.6,0.6169354838709677
MLP,0.5818181818181818,0.6899951899951898,0.5818181818181818,0.6044618345902623
XGBoost,0.7090909090909091,0.6745718050065876,0.7090909090909091,0.6828752642706132
