Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.552,0.5491255873769599,0.552,0.5492918636961927
SVM,0.47,0.42414999999999997,0.47,0.4170117278347536
Random Forest,0.516,0.5116491788548895,0.516,0.5119761345852896
Gradient Boosting,0.496,0.48753431822511645,0.496,0.48684604715672675
Decision Tree,0.498,0.49722905497060915,0.498,0.4975650632074825
KNN,0.526,0.5305358974358974,0.526,0.5264950163853088
MLP,0.516,0.5099092533047517,0.516,0.5093241379310345
XGBoost,0.516,0.5090264260226509,0.516,0.5077645545827768
