Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8837209302325582,0.8837209302325582,1.0,0.9382716049382716
SVM,0.8837209302325582,0.8837209302325582,1.0,0.9382716049382716
Random Forest,0.8837209302325582,0.8837209302325582,1.0,0.9382716049382716
Gradient Boosting,0.8372093023255814,0.8974358974358975,0.9210526315789473,0.9090909090909091
Decision Tree,0.9767441860465116,0.9743589743589743,1.0,0.987012987012987
KNN,0.23255813953488372,0.8571428571428571,0.15789473684210525,0.26666666666666666
MLP,0.6976744186046512,0.8571428571428571,0.7894736842105263,0.821917808219178
XGBoost,0.8372093023255814,0.8974358974358975,0.9210526315789473,0.9090909090909091
