Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.45918367346938777,0.5172413793103449,0.5454545454545454,0.5309734513274337
SVM,0.5714285714285714,0.5714285714285714,0.9454545454545454,0.7123287671232876
Random Forest,0.4897959183673469,0.543859649122807,0.5636363636363636,0.5535714285714286
Gradient Boosting,0.47959183673469385,0.5384615384615384,0.509090909090909,0.5233644859813084
Decision Tree,0.4387755102040816,0.5,0.4909090909090909,0.4954128440366973
KNN,0.5510204081632653,0.6222222222222222,0.509090909090909,0.56
MLP,0.5408163265306123,0.5757575757575758,0.6909090909090909,0.628099173553719
XGBoost,0.37755102040816324,0.44642857142857145,0.45454545454545453,0.45045045045045046
