Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7446808510638298,0.7432079335774744,0.7446808510638298,0.7436010238361862
SVM,0.7446808510638298,0.7470111915089445,0.7446808510638298,0.7455082742316785
Random Forest,0.6914893617021277,0.6893363728470112,0.6914893617021277,0.6801870723750685
Gradient Boosting,0.648936170212766,0.6534077624503156,0.648936170212766,0.650515896688098
Decision Tree,0.6702127659574468,0.6690529515277555,0.6702127659574468,0.6695568184929886
KNN,0.6276595744680851,0.7372436699720805,0.6276595744680851,0.6114633888876614
MLP,0.7340425531914894,0.7316958698372966,0.7340425531914894,0.7307161050777439
XGBoost,0.7340425531914894,0.7319943751528492,0.7340425531914894,0.7322538128412728
