Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.4909090909090909,0.16666666666666666,0.1,0.125
SVM,0.6727272727272727,0.75,0.15,0.25
Random Forest,0.6545454545454545,0.5555555555555556,0.25,0.3448275862068966
Gradient Boosting,0.45454545454545453,0.2727272727272727,0.3,0.2857142857142857
Decision Tree,0.4,0.25925925925925924,0.35,0.2978723404255319
KNN,0.6727272727272727,0.5333333333333333,0.8,0.64
MLP,0.6545454545454545,0.5454545454545454,0.3,0.3870967741935484
XGBoost,0.5272727272727272,0.3125,0.25,0.2777777777777778
