Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5918367346938775,0.6595744680851063,0.5636363636363636,0.6078431372549019
SVM,0.5918367346938775,0.6119402985074627,0.7454545454545455,0.6721311475409836
Random Forest,0.6428571428571429,0.6612903225806451,0.7454545454545455,0.7008547008547008
Gradient Boosting,0.5510204081632653,0.6037735849056604,0.5818181818181818,0.5925925925925926
Decision Tree,0.5612244897959183,0.6071428571428571,0.6181818181818182,0.6126126126126126
KNN,0.5816326530612245,0.7692307692307693,0.36363636363636365,0.49382716049382713
MLP,0.5714285714285714,0.6444444444444445,0.5272727272727272,0.58
XGBoost,0.5816326530612245,0.6346153846153846,0.6,0.616822429906542
